cluster,texto
3,nan
7,curtiu uma mensagem
3,nan
6,obrigada pelo convite adorei a minha sandalia nova hearts
3,nan
3,nan
5,<url>
0,boa tarde a jaqueta off da nauanim voltou
2,sem conteudo detectavel
9,bia sent an attachment
2,sem conteudo detectavel
9,bia sent an attachment
5,link compartilhado
7,curtiu uma mensagem
9,bia sent an attachment
3,nan
9,bia sent an attachment
8,bom dia alessandra acredito que te respondemos pelo whatsapp mas aproveito para confirmar que por enquanto ela esta disponivel apenas no tamanho <num> que equivale a um tamanho m
1,qualquer coisa seguimos a disposicao
6,sim obrigada
2,sem conteudo detectavel
3,nan
5,<url>
9,brenda sent an attachment
9,bia sent an attachment
9,bia sent an attachment
5,<url>
2,sem conteudo detectavel
2,sem conteudo detectavel
9,stella sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
3,nan
3,nan
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
10,o site esta passando por problemas
10,oi karyna tudo bem estamos passando algumas instabilidades com o site mas acredito que logo mais isso vai se resolver voce precisa de suporte com algo estamos aqui para o que precisar
9,bia sent an attachment
9,so mimimi sent an attachment
1,oi pessoal tudo bem acredito que essa calca tenha esgotado certo vai ter reposicao dela aguardo retorno obrigada milene
10,ola milene bom dia que bacana que se interessou por essa peca infelizmente ela esta fora de estoque no momento mas em breve com reposicao avisamos assim que voltar obrigada e um abraco equipe curadobia
6,perfeito fico no aguardo abraco
2,sem conteudo detectavel
0,ola boa tarde tudo bem tenho uma confeccao trabalho com tecido plano e malha faco todo desenvolvimento da peca comecando da peca piloto e entrego a producao passada e embalada caso tenha interesse meu numero e <num> obrigada
2,sem conteudo detectavel
5,link compartilhado
3,nan
7,curtiu uma mensagem
3,nan
2,sem conteudo detectavel
12,que roupa bonita
5,link compartilhado
7,curtiu uma mensagem
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
5,link compartilhado
10,ola primeiramente quero dizer que a curadobia esta fantastica vi que varios produtos estao indisponiveis no site como a blusa pah e phyna por exemplo tem alguma previsao de retorno ao estoque
10,ola fabiana obrigada pela sua mensagem e carinho conosco alguns de nossos parceiros ainda estao organizando a volta dos estoques pos recesso de final e inicio de ano entramos em contato com a lounge <num> produtoras da blusa pah e phyna e elas nos informaram que provavelmente amanha mesmo as blusas ja estejam de volta em estoque pode ficar tranquila que a gente te avisa qualquer coisa seguimos aqui
7,reagiu com a sua mensagem
6,obrigada pelo retorno vou acompanhar entao beijo beijo
7,curtiu uma mensagem
0,boa tarde fabiana como vai passando para avisar que as blusas acabaram de ser repostas no site estoque
1,qualquer outra duvida seguimos aqui
9,bia sent an attachment
9,stella sent an attachment
0,ola sua curadoria projeto editorial e grafico sao incriveis parabens mas sua plataforma de e commerce nao funciona bem estou desde ontem tentando fazer compras mas paginas nao carregam carrinhos esvaziam muito dificil
10,ola pamela td bem obrigada pela mensagem sentimos muito que esteja com esses problemas para conseguir efetuar as suas compras com a gente de fato o sistema passou por algumas instabilidades poderia nos dizer quais pecas se interessou para tentarmos solucionar por aqui
1,ola tudo bem seriam essas pecas
11,imagem enviada
12,as duas camisas o body a calca e o colar eu visto p
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
10,bom dia pamela tudo bem revisamos aqui o nosso sistema e fizemos testes e tudo parece funcionar bem esperamos que voce tenha uma boa experiencia agora o que aconselhamos tambem e entrar no site pelo google chrome caso voce ainda nao tenha acessado por la vou te encaminhar os links dos produtos que voce nos encaminhou <url> <url> <url> <url> <url>
1,qualquer coisa seguimos aqui
6,adorei a dica
3,nan
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
0,ola fiz uma compra com voces tudo certo
5,link compartilhado
10,oi claudia que mensagem boa ficamos felizes de voce gostar dos nossos produtos vou confirmar sua compra e te aviso
13,obaa
6,obrigada pelo feedback maria
0,claudia pedido confirmado foi uma regata nadadora tamanho m da mybasic correto esperamos que voce adore sua compra
7,curtiu uma mensagem
13,oba
9,bia sent an attachment
1,oi pessoal tudo bem estou com duvida sobre numeracao de uma peca de voces aguardo retorno obrigada milene
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
10,ola milene bom dia como vai claro estamos aqui para ajudar qual a sua duvida
2,sem conteudo detectavel
6,tudo bem e voces
13,joia
1,estou de olho nessa peca aqui
11,imagem enviada
8,porem na duvida do melhor tamanho
8,eu costumo usar p ou pp se a confeccao e grande
4,<num> ou <num>
8,entendi esse modelo ele e oversized ou seja possui uma estrutura mais larga voce ja chegou a usar modelos assim
4,nao rsrs
0,temos o video nos nossos stories de hoje com a bia usando ela de uma olhada
1,vou olhar
5,link compartilhado
0,na verdade eu ja assisti ao video do casaco no site curadobia varias vezes para tentar chegar a essa conclusao mas nao consegui
10,boa tarde pamela deu tudo certo com a sua experiencia no site se precisar estamos aqui
12,milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por voce nao estar acostumada a roupas oversized o que acha
13,joia
8,posso trocar caso eu experimente e prefira uma maior
0,outra duvida e sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories
1,claro
13,joia
0,outra duvida e sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories
1,o tom certo e o que esta no site os stories que a bia postou hoje modificaram um pouco o tom
6,perfeito
0,eu amo todos os seus looks combina <num> com o meu estilo queria ter todas as pecas para mim pena que moro do outro lado do mundo
6,oi patricia bom dia caraca que legal receber essa mensagem sua ficamos muito felizes com isso nos avise quando estiver por aqui que fazemos uma entrega especial
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br insta <user> oficial o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a wendyel borin super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
7,curtiu uma mensagem
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
2,sem conteudo detectavel
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a argi super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a fernanda yamamoto super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola como vao muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a jorg em foco o que acham de retomarmos contato aguardo voces
5,<url>
10,ola pessoal como vao muito prazer meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a lourie super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola como vao muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a nua em foco o que acham de retomarmos contato aguardo voces
10,ola como vai muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a patu em foco o que acham de retomarmos contato aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a rocio canvas super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a projeto zero um super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola como vai muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a toruss em foco o que acham de retomarmos contato aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a elisa atheniense super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola como vao muito prazer meu nome e ana e trabalho aqui no curadobia nao sei se recordam porem conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluimos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com voces nosso site para darem uma olhada curadobia com br ainda temos a tempo em foco o que acham de retomarmos contato aguardo voces
6,bom dia
10,entrar em contato com a luciana nossa gerente comercial no email gerencia <user> com br
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a a aurora super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,essa conta nao pode receber sua mensagem porque nao aceita novas solicitacoes de contato de todos
6,muito obrigada
13,por nada
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br insta <user> oficial o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a aim super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola tudo bem e com vcs vi que vcs enviaram um e mail para nos vou responder vcs por la ok um beijo e muito obrigada pelo contato < <num>
13,oi
1,a regata chiquetosa vai voltar pro estoque
2,sem conteudo detectavel
6,ola bom dia como vao aguardamos a resposta de voces por la entao obrigada
6,oi karyna bom dia tudo bem vamos verificar
11,karyna estoque atualizado
7,reagiu com a sua mensagem
11,e a regata arrumadona
13,volta pro estoque
0,boa tarde fiz um pedido de uma blusa brilhei no dia <num> <num> nao recebi nenhum e mail de confirmacao sera que esta tudo certo meu nome e cristiane rocha loures brenner
6,oi cristiane tudo bem obrigada pelo seu contato pode ficar tranquila vamos verificar para voce
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a aylla super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
0,ok obrigada vi que foi lancado no meu cartao de credito
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a escudero co super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a gammba super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a giomei super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a mareu nitschke super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a natu super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola curadobia tudo bem agradecemos o interesse pela marca para garantir que voce receba a atencao e cuidado adequados pedimos a gentileza de encaminhar mais informacoes como contatos rede social e portfolio para mkt conteudo <user> com br nossa equipe de marketing e especializada nesse assunto dessa forma tenho certeza de que eles avaliarao e se houver interesse entrarao em contato prontamente fique a vontade para entrar em contato caso tenha alguma duvida estamos aqui para ajudar
13,ei ana
6,tudo bem
0,em marco eu vou produzir reposicao e cores novas de tudo
0,agora estou organizando as coisas
7,ai entro em contato voces
1,pode ser
2,sem conteudo detectavel
13,oi
11,a regata arrumadona m
13,volta pro estoque
10,oie obrigada pela resposta conversamos com a bia e temos interesse em marcar uma reuniao ja por esses dias pois o curadobia esta com uma nova metodologia e com novidades e mesmo a producao de voces para marco seria interessante conversar com voces agora o que acham te aguardo
10,oi cristiane foi confirmado seu pedido
6,ola obrigada qual a previsao de entrega
10,como uma critica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra
13,sim
1,vamos marcar
11,imagem enviada
13,oi
0,eu nao recebi a confirmacao dessa compra
1,oi ana a marcia fonseca esta em contato com vc ne vamos conversar sim a fernanda tem mto interesse
10,oi karyna bom dia vimos que voce mandou as mesmas mensagens pelo nosso whatsapp vamos dar seguimento por la entao tudo bem obrigada
13,sim
13,pode
10,oi cristiane bom dia obrigada pela sua mensagem na verdade todos os nossos pedidos sao enviados o email de confirmacao imediatamente porem realmente identificamos um erro no nosso sistema que os ultimos pedidos nao estao recebendo a confirmacao ja estamos em contato com o nosso tecnico para resolver obrigada por ter nos informado
10,com relacao a previsao de entrega por conta dessa questao na plataforma as marcas tambem nao receberam a notificacao do pedido e por isso ira acabar atrasando um pouco a sua compra mas nos tambem ja entramos em contato com a stella bastos sobre a sua compra e logo mais ela estara com voce desculpa pelo ocorrido qualquer coisa nos avise obrigada por ser nossa cliente equipe curadobia
6,ok entendi obrigada pelo retorno um abraco
9,bia sent an attachment
2,sem conteudo detectavel
10,oiii boa tarde me chamo talita e sou figurinista na emissora cnbc <user> licenciada pela <user> uma emissora nova que transmite jornalismo de negocios e e lider mundial no seu segmento temos no nosso elenco grandes nomes do jornalismo incluido carol barcellos rita wu erica reis christiane pelajo zeca camargo natalia ariade estou apenas dando um exemplo do time de peso que faz parte da emissora as meninas sao a cara da marca elas postam marcam o tem o manequim otimo e sao mega fotogenicas podemos alinhar a producao me ajudem rs vai ser uma parceria incrivel um beijo e aguardo retorno
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
9,bia sent an attachment
10,ola tudo bem entre em contato com nosso comercial <num>
9,bia sent an attachment
9,bia sent an attachment
13,oie
10,chama no mkt <user> com
6,ola obrigada
2,sem conteudo detectavel
10,oi talita muito bom receber sua mensagem agradecemos demais o contato e que bacana voces terem pensado na gente porem nesse momento nos nao estamos trabalhando com producao de qualquer forma salvamos o teu contato para futuras oportunidades atenciosamente equipe curadobia
9,you sent an attachment
2,sem conteudo detectavel
9,brenda sent an attachment
10,ola tudo bem bom dia como funciona o orcamento de studios com voces por favor
2,sem conteudo detectavel
5,link compartilhado
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a iara wisnik super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a l dnim super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
9,bia sent an attachment
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a novamente pode se conectar com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
2,sem conteudo detectavel
2,sem conteudo detectavel
7,curtiu uma mensagem
9,brenda sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
9,bia sent an attachment
12,bia tudo bem tenho uma festa bem legal e o traje e black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se voce recomenda alguma calca mais festa para combinar beijos julie
9,bia sent an attachment
1,oie td e vc fica super vistoso pode ficar bem bacana com essa saia tmb
5,<url>
3,nan
9,brenda sent an attachment
9,bia sent an attachment
0,boa noite havera reposicao da saia unica preta no tamanho <num>
9,bia sent an attachment
10,oie bom dia tudo bem obrigada pela sua mensagem entramos em contato com a marca d aura que produz a saia e eles nos informaram que em <num> dias irao receber novos estoques da nossa saia unica
1,quando ela estiver disponivel nos vamos te avisar
2,sem conteudo detectavel
6,ok obrigada
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
2,sem conteudo detectavel
10,oi time da curadobia tudo bem sou joana sigo o perfil e amo tem uma calca que vi numa propaganda que me apaixonei mas nao encontrei no site queria saber de onde ela e por favor se puderem voces me contam super obrigada bj
11,imagem enviada
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
5,link compartilhado
6,amamos
9,brenda sent an attachment
5,<url>
10,ola que bom que voce se interessou por nos muito bom receber tua mensagem joana infelizmente essa calca nao esta no curadobia e e acervo pessoal da bia mesmo esse video tem a finalidade de apresentar as nossas camisas esperamos que goste
1,seguimos a disposicao para o que precisar
2,sem conteudo detectavel
5,link compartilhado
6,oi boa tarde
12,adquiri uma maxi pantalona valeria mansur
13,p
11,ficou enorme
8,como proceder p troca
11,imagem enviada
0,obrigada pelo retorno as pecas sao incriveis e que me apaixonei por essa calca entao foi ela que me prendeu o olhar
9,bia sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
6,oi fatima bom dia tudo bem pode ficar tranquila que iremos dar seguimento com a sua solicitacao
2,sem conteudo detectavel
9,bia sent an attachment
2,sem conteudo detectavel
5,link compartilhado
10,ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a marca de voces pode se conectar com essa proposta com quem poderia conversar para falar mais sobre aguardo voces
1,ate agora nada
10,eu sugiro q vcs verifiquem melhor as parcerias de fornecedores pois nao comprarei mais nesta curadoria infelizmente gosto mto do trabalho da bia mas assim inviabiliza
2,sem conteudo detectavel
10,oi fatima tudo bem bom dia obrigada pela sua mensagem e feedback e muito importante para nos estamos conversando por whatsapp podemos continuar nossa comunicacao por la
0,ola meninas tudo bem comprei a saia preta da d aura em outubro precisei trocar foram rapidissimos mas so hoje eu soube que nao levaram a sacola com a peca a ser trocada ficou este tempo todo na minha portaria como faco
6,linda gladiadora
10,oi cristina que bom que gostou ela esta disponivel no nosso site se quiser dar uma olhada <url>
1,qualquer duvida sigo a disposicao
0,oi ana tudo bem na epoca o pessoal da d aura te instruiu que iriam retirar na sua portaria
1,nao se preocupe vamos resolver essa questao que bom que voce identificou isso
10,fatima te respondemos no whatsapp mas nao recebemos seu retorno esta tudo bem qualquer coisa sigo aqui a disposicao
13,sim
1,na verdade foi o porteiro rs
6,tranquilo obrigada
7,reagiu com a sua mensagem
1,ja respondi sim no wzap
9,bia sent an attachment
9,pri sent an attachment
11,voces irao vender oysho
2,sem conteudo detectavel
5,link compartilhado
10,ana vou verificar com eles voce pode me informar qual foi o numero do seu pedido por favor
0,oi pri estao entrando muitas marcas incriveis novas no curadobia porem a oysho nao e uma delas
4,e o pedido <num>
2,sem conteudo detectavel
2,sem conteudo detectavel
7,curtiu uma mensagem
6,ola tudo bem ana e vc que bacana vou passar o whatsapp da maia pode falar com ela por gentileza <num> <num>
3,nan
10,ana ja entrei em contato com o pessoal da d aura para entendermos o que aconteceu
1,logo mais te passo novas informacoes
6,obrigada
5,link compartilhado
7,curtiu uma mensagem
9,bia sent an attachment
9,bia sent an attachment
10,ola tudo bem podemos falar pelo nosso whatsapp <num> <num> <num> <num>
6,obrigada pelo interesse aguardamos voces
3,nan
1,vou seguir
2,sem conteudo detectavel
2,sem conteudo detectavel
5,link compartilhado
13,que honra
0,ja comprei <num> pecas da curadobia
11,amando heartsheartshearts
3,nan
0,que maximo marca a gente nos seus looks muito feliz que esta curtindo a selecao de pecas logo mais teremos muitas novidades bacanas
7,curtiu uma mensagem
12,linda essa blusa
6,ficamos felizes que tenha curtido ela e muito especial mesmo segue aqui mais detalhes
5,<url>
4,nao tem mais numeracao <num>
6,boa noite
8,estou com duvidas sobre o tamanho da saia unica visto <num> mas as medidas no quadro de tamanhos parecem grandes mas existe a informacao de que o tamanho <num> corresponde ao <num>
6,oi suzane bom dia como voce esta
10,solicitamos a reposicao para a paula ferber logo mais te atualizaremos sobre o estoque
6,bom dia obrigada
10,oie tudo bem elaine obrigada pela sua mensagem voce consegue nos confirmar suas medidas para que possamos verificar com mais precisao
8,elaine para o tamanho <num> nos indicamos o tamanho <num> da saia
8,oi suzane infelizmente nao estamos com previsao de reposicao do tamanho <num> da nossa gladiadora
1,poxa que pena quando tiverem me avise por favor
1,pode deixar
1,qualquer outra duvida sigo a disposicao
13,ok
6,obrigada
1,cade quero
8,bia td bom nao estou conseguindo finalizar a compra da regata podrinha coloquei os dados do cartao e no campo cvv eu ponho os numeros mas o sistema ignora que eu coloquei tentei varias vezes acho que esta com problema
2,sem conteudo detectavel
10,oi adriana bom dia como vai obrigada pelo seu interesse conosco estamos fazendo uma repaginacao no site e assim que voltarmos te mando o link do nosso conjunto que voce gostou
1,qualquer coisa sigo aqui
10,oi lais bom dia como vai ana aqui da equipe do curadobia obrigada pelo seu interesse conosco estamos fazendo uma repaginacao no site e assim que voltarmos te aviso tudo bem
1,qualquer coisa sigo aqui
10,oi lais boa noite o site esta funcionando normalmente esperamos que consiga finalizar seu pedido agora
1,qualquer duvida nos avise ok
5,<url>
2,sem conteudo detectavel
9,bia sent an attachment
6,que lindoo
10,oi natalia td bem as meninas do enjoei me passaram seu contato estou buscando uma pessoa para me ajudar em roteiros e conteudo adoraria bater um papo com vc
4,<num> <num> <num>
13,bjs
1,quem te escrever aqui e a bia paes de barros
2,sem conteudo detectavel
2,sem conteudo detectavel
3,nan
0,boa tarde pessoal tudo bem estava namorando um macacao verde no site da marca d aura porem nao localizei mais saiu de colecao nao tera reposicao aguardo obrigada milene
0,boa tarde milene td bem e vc esse macacao nesse tom infelizmente nao tera reposicao mas lancamos ontem o mesmo modelo em preto
5,<url>
1,tudo bem tambem que pena eu queria exatamente o verde
9,so mimimi sent an attachment
1,vai ter reposicao dessa calca
5,<url>
0,ola camila td bem segue aqui o link da blusa que voce gostou qualquer duvida estamos a disposicao ok
6,ola muitissimo obrigada
5,link compartilhado
5,link compartilhado
11,que calca maravilhosa
13,qual o preco
6,bom dia maria luiza que bacana que se interessou por essa calca ela e muito especial mesmo o valor r <num> <num> caso tenha mais alguma duvida nao deixe de nos constatar equipe curadobia
5,<url>
2,sem conteudo detectavel
0,ola bom dia infelizmente essa calca tambem saiu do nosso mix estamos com novos produtos e novas marcas entrando no curadobia esperamos que goste qualquer coisa sigo aqui
11,link da calca por gentileza
10,oi patricia tudo bem obrigada pela sua mensagem infelizmente nao temos mais essa calca disponivel no nosso mix mas temos diversos produtos unicos e selecionados pela bia paes de barros o que acha dessas opcoes
5,<url>
5,<url>
5,<url>
5,<url>
1,qualquer coisa meu nome e ana e sigo aqui para o que voce precisar
10,ola sou o gerente de vendas da pg game platform quero falar com voce sobre parcerias nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curacao em outubro voce pode se juntar a nos e lhe daremos altas comissoes entre em contato comigo pelo whatsapp <num>
3,nan
9,you sent an attachment
9,bia sent an attachment
2,sem conteudo detectavel
5,link compartilhado
9,bia sent an attachment
9,bia sent an attachment
10,oii karinne tudo bem aqui quem fala e a ana do time curadobia voce acredita que estive olhando todos os dias desde que voce demonstrou interesse se a nossa saia unica voltaria ao estoque e somente hoje isso aconteceu ela e a queridinha das nossas clientes e tem acabado rapido entao espero que consiga aproveitar essa oportunidade te encaminho o link para o acesso dela
5,<url>
1,sigo aqui pra o que voce precisar
12,gostaria a camisa branca tamanho m e possivel
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
12,oi silvana tudo bem bom dia quem fala com voce e a ana do time curadobia posso confirmar com voce se seria essa camisa que te interessou segue
5,<url>
5,link compartilhado
9,you sent an attachment
5,link compartilhado
7,curtiu uma mensagem
2,sem conteudo detectavel
10,ola pessoal tudo bem sou a lala cunha <user> e vim contar um pouco sobre o <user> estamos em sp e fazemos fotografia videos em formato reels direcao de arte e styling para marcas de acordo com a sua necessidade fazemos trabalhos exclusivos para as marcas e em breve final de marco tambem faremos o nosso proximo shooting collab uma diaria criada para incluir varias marcas que tem produtos a serem fotografados necessitam de um material de qualidade mas que nao querem ter um alto valor de investimento nisso o proximo collab sera em uma locacao linda e as modelos foram escolhidas a dedo e acho que combina muito com a marca de voces abaixo mando mais infos vamos conversar sobre essas possibilidades fico aqui a disposicao abracos lala <num> <num>
11,imagem enviada
9,bia sent an attachment
2,sem conteudo detectavel
2,sem conteudo detectavel
9,bia sent an attachment
9,bia sent an attachment
8,ola bom dia sou muito fa da bia mas nunca comprei no curadoria uma duvida como faco para escolher um tamanho com mais seguranca tem uma tabela de medidas para servir de referencia obrigada
