texto,intent,cluster
"olá! bom dia! roupas lindas aqui! mas não encontrei muitas opções de tamanhos maiores. é isso mesmo? tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho g, gg. 44/46. poderiam me sugerir algumas opções?",duvida_tamanho,3
olá! muito obrigada!! vou ver em breve!!,saudacao,5
preço?,preco_pagamento,12
oii,saudacao,2
obrigada! eu aviso sim!! gostei bastante! vou levar para a cliente.,agradecimento,12
olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? obrigada carol 🤍,saudacao,0
"olá, td bem? fiz uma compra com vc e recebi apenas o tricot. vc pode me ajudar ? muito obrigada desde já !",saudacao,12
não estou conseguindo entrar no site para fazer compra,outros,12
oiee,saudacao,2
gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao,11
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho,3
sua roupa jeans é de onde?,outros,6
"perfeito, ana. obrigada pelo retorno. 😊",agradecimento,5
ameiiiiiiii,outros,1
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",preco_pagamento,12
obrigada,agradecimento,13
uma coisa de lindo!,outros,11
oi! esse conjunto marrom é vendido também ?,saudacao,6
obrigada,agradecimento,13
bom dia. gostei da calça. vai ter no site? obrigada,saudacao,6
"bia, você acaba comigo com tantas coisas lindas do curadobia!!! queria muito que tivesse frete internacional ( canadá) eu fico aqui babando!!!! 😍",prazo_entrega,5
"oi ana, obrigada pela resposta! bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega,12
nossa . perfeito,agradecimento,4
bem e vc ana!! muito obrigada,agradecimento,5
"deu certo, sim. obrigada",agradecimento,5
adorei! como funciona ?🤩,outros,10
"oi ana boa tarde! obrigada pelo contato. sim, estou interessada. tentei comprar após a mensagem da bia mas ainda estava indisponível",saudacao,12
"ótimo, me avise por favor. um abraço e obrigada",agradecimento,5
"visto g, qual tamanho seria? quais cores tem? tem a calça tb?",duvida_tamanho,3
uauuu ameiii! linda saia!,outros,11
❤️,outros,2
olá! esse conjunto ainda não está disponvel no site de vcs né ? poderia me dizer se onde é?,saudacao,6
😍,outros,1
olá. tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros,12
fiz o processo 2x será q cobrou 2x?,outros,9
ahh reptilia adoro,outros,11
😍,outros,1
qual a marca do tenis?,outros,6
"oii, bia! tudo bem? por favor, de onde é essa calça? yes i am? procurei aqui no feed e não encontrei… obrigada!",saudacao,6
legal mto obrigada 💚,agradecimento,5
obrigada!,agradecimento,5
"olá! bom dia! me chamo anelisa e gostaria de confirmar se meu pedido foi realizado. não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. no entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. além disso também não recebi um e-mail com os dados do pedido. muito obrigada desde já!",saudacao,12
"oi, ana! tudo e você? beleza, obrigada!",saudacao,5
essa tshirt vai estar no evento? namoro tanto ela,outros,11
isso é curadobia hein!,outros,2
"ahh pena! mas na hora certa, vai dar!",outros,9
bia! será que a tshirt angela motta branca com uma manga bafônica vai ter amanhã? preciso dela,disponibilidade,11
obaaa!❤️❤️❤️,outros,1
eba!,outros,2
muito obrigada pelo retorno!,agradecimento,5
endereço,outros,0
"adorei, obrigada vcs!",agradecimento,5
chico neto cd maré mar whatsapp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar,0
sua camisa é linda,outros,11
lindo o evento! amei,agradecimento,11
"oi, quanto custa a blusa modernosa? tem gg ?",preco_pagamento,3
👏,outros,4
🥰,outros,4
😍,outros,1
qual o endereço???,outros,0
👏,outros,4
😍,outros,1
foi só hoje ou vai ficar mais tempo?,outros,9
essa gladiadora!! qual o número? tem 37??,disponibilidade,13
e tem ela preta?,disponibilidade,11
"eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros,9
"vou querer a 46, qual é sua chave pix?",preco_pagamento,13
yes!!,outros,10
37?? não creio,outros,13
tô de olho faz tempooo,outros,9
"tá ótimo, obrigada",agradecimento,5
certo. qual o link da compra?,outros,12
maravilha,outros,2
obrigada ana!!,agradecimento,5
compra realizada,outros,12
eu não recebi email confirmando a compra...,outros,12
"gostei do conjunto, mas não vi no site",outros,6
🥰,outros,4
foi muito legal,outros,11
eu adorei !! ja usei minha saia hj,outros,11
❤️❤️❤️❤️❤️,outros,2
vamos pensar no q podemos fazer juntas🌺🌺,outros,9
olá,saudacao,0
como eu poderia rastrear minha compra?,prazo_entrega,12
bom dia,saudacao,14
por onde posso acompanhar o envio da minha compra?,outros,12
obrigada,agradecimento,13
"oi tudo bem? está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento,12
oiiii tudo bem?,saudacao,10
quanto tá essa blusa?,outros,3
obrigada,agradecimento,13
ok. obrigada 😊,agradecimento,5
olá algum cupom de desconto na primeira compra?,preco_pagamento,12
oi! tudo certinho por aí? 💚 somos a ēcru e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! nossos principais produtos são: 💚 necessaire 💚 saquinhos 💚 ecobags nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! posso te enviar mais informações pelo e-mail ou whatsapp? ah! também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar,0
olá! como tirar dúvidas de tamanho da peça?,duvida_tamanho,3
"boa tarde. estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao,12
"vc poderia checar se houve algum problema com os correios de são paulo, pois nem chegou no correio de curitiba",outros,12
quero comprar mas preciso saber se ela calça certinho o número do calço o número 35. devo comprar o mesmo?,outros,3
parece que o contato por aqui não é satisfatório...,outros,9
oie!! essa calça vai ter reposição na curadoria?,disponibilidade,6
vc teria alguma informação sobre a minha encomenda?,outros,12
"oie!!! são lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao,11
Bom dia. Gostei da calça. Vai ter no site? Obrigada,saudacao,6
"Oi tudo bem? Está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento,12
Que lindoo😍,outros,11
Qual tamanho?,duvida_tamanho,3
Reagiu com 👍🏿 à sua mensagem,outros,8
Cadê? Quero,outros,9
"Obrigada pelo retorno, as peças são incríveis! É que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,6
"Oi Time da Curadobia tudo bem? Sou Joana, sigo o perfil e amo! Tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. Queria saber de onde ela é, por favor. Se puderem, vocês me contam? Super obrigada! Bj",disponibilidade,6
👏,outros,4
Adorei! Como funciona ?🤩,outros,10
Tô chegando!,outros,9
Tutu. Meu filho é Tutu. Arthur kkkk,outros,2
Tem cupom de desconto primeira compra?,preco_pagamento,12
Olá!! Como vai funcionar? Onde vai ser? Obrigada!!,saudacao,0
De onde é esse Macacão maravilhoso!!! Amo ❤️,agradecimento,11
Qual o preço?,preco_pagamento,12
Que calça maravilhosa,agradecimento,6
Lindas !!,outros,11
Reagiu com 👍 à sua mensagem,outros,8
É acolchoada ?,outros,10
Obrigada !!,agradecimento,5
Essa sandália calça certo ?Calço 36 .Será que preciso comprar 37 ?,duvida_tamanho,3
Vocês irao vender Oysho????,outros,12
😍,outros,1
Oi BIA. Sou Erika dos @brincosdiferentes. Gostaria de saber como você trabalha em relação a promoção de produtos. Meus brincos são autorais e os fabrico a 39 anos. A produção é 100% nacional. Fabricamos desde a liga do metal até o banho de ouro 18k. Nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. Espero seu contato. Obrigada.,saudacao,0
Ola! Muitíssimo obrigada 💋,saudacao,5
"Olá, Tudo bem? Entre em contato com nosso comercial, 085987859507",saudacao,0
"Olá, eu encontro as medidas no site?",duvida_tamanho,12
"Olá, quanto custa a pantalona?",preco_pagamento,6
"Oiii boa tarde , Me chamo Talita e sou figurinista na emissora CNBC @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. Temos no nosso elenco grandes nomes do jornalismo incluido Carol Barcellos , Rita Wu, Erica Reis , Christiane Pelajo , Zeca Camargo, Natalia Ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. As meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. Podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade,0
Gostaria a camisa branca tamanho M. É possível?,duvida_tamanho,3
Mto obrigada msm,agradecimento,5
"Sim! A Carol entrou em contato comigo! Uma fofa , super atenciosa",outros,9
Oiee! Bom dia,saudacao,14
Mto obrigada pelo retorno,agradecimento,5
Oie,saudacao,2
Conseguem me ajudar por aqui?,agradecimento,12
"Sobre a troca da calça que comprei (quero trocar por um tamanho menor). Recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao,12
Td bem?,outros,10
Olá bom dia,saudacao,14
Como é o processo da troca?,troca_devolucao,10
"Mas, ficou grande😫",troca_devolucao,3
Meu pedido chegou hj!!,outros,0
Olá!!,saudacao,0
Eu queria usar nas fotos que irei fazer amanhã,outros,9
Aiiiin que pena,outros,2
Vc consegue rastrear o meu pedido?,prazo_entrega,12
E ainda não chegou,outros,9
Eu comprei a calça pantalona branca no dia 13/08,disponibilidade,6
"Olá , bom dia",saudacao,14
Olá,saudacao,0
Preciso de uma ajudinha com o meu pedido,outros,12
"Olá, boa tarde",saudacao,14
Ainda hj vou efetuar a compra da calça,outros,6
Mto obrigada,agradecimento,5
Ahhh maravilha,outros,2
"Caso não fique com, como funciona a troca?",troca_devolucao,10
Bom dia,saudacao,14
Oieee,saudacao,2
Maravilha!,outros,11
Gostaria de saber o tamanho da cintura dessa calça no tamanho M,duvida_tamanho,3
"Olá, boa noite",saudacao,14
Lindíssima,outros,11
😍,outros,1
Obrigada! Eu aviso sim!! Gostei bastante! Vou levar para a cliente.,agradecimento,12
Oii,saudacao,2
Olá! Muito obrigada!! Vou ver em breve!!,saudacao,5
"Olá! Bom dia! Roupas lindas aqui! Mas não encontrei muitas opções de tamanhos maiores. É isso mesmo? Tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho G, GG. 44/46. Poderiam me sugerir algumas opções?",duvida_tamanho,3
Qual foi a mensagem?,outros,8
Este é meu WhatsApp…,onde_comprar,0
Ola!,saudacao,0
Muito obrigada!,agradecimento,5
Email: adrianaleitecarvalho@gmail.com,outros,0
Meu tel 21 99245-3454,outros,0
Alguém poderia entrar em contato comigo por e-mail ou WhatsApp? O site de vcs parece que está com problemas. Não funciona direito não.,onde_comprar,12
Fiz uma compra de um casaco com vcs e não vestiu bem. Gostaria de trocar por uma calça fresquinha tamanho M.,troca_devolucao,6
"Olá Curadobia, tudo bem? Agradecemos o interesse pela marca. Para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. Nossa equipe de marketing é especializada nesse assunto. Dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. Fique à vontade para entrar em contato caso tenha alguma dúvida. Estamos aqui para ajudar.",saudacao,0
Reagiu com 👍 à sua mensagem,outros,8
"Amoooo suas rasteiras, não são da sua Lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,12
"Bia, td bom? Não estou conseguindo finalizar a compra da ""regata podrinha"". Coloquei os dados do cartão e no campo CVV eu ponho os números mas o sistema ignora que eu coloquei. Tentei várias vezes, acho que está com problema…",preco_pagamento,12
🔥,outros,2
👏,outros,4
Olá! Tudo bem? Tem cupom para 1a compra?,cupom_primeira,12
Muito obrigada!! Tenham um bom fim de semana!,agradecimento,5
Você poderia me passar o contato dos responsáveis?!,outros,0
"Somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",outros,0
Tudo bem também!!,outros,4
"Oii, tudo bem??",saudacao,10
Sua camisa é linda,outros,11
Quero comprar mas preciso saber se ela calça certinho o número do calço o número 35. Devo comprar o mesmo?,outros,3
E a blusa?,outros,3
E a calça é de onde?,outros,6
"Muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho,5
Gostaria de saber qual a altura e medidas da Bia pra entender melhor o tamanho de referência.,duvida_tamanho,3
😍,outros,1
"Oi Ana a Marcia Fonseca esta em contato com vc, ne? Vamos conversar sim, a Fernanda tem mto interesse",disponibilidade,0
Maravilha 🙌🏼,outros,2
Ops é a blusa Pah,outros,2
Obrigada,agradecimento,13
Mas gostaria de experimentar antes de comprar. É possível? Meu cel (11) 99904-7575,outros,12
Eu amei a blusa branca Tcharam 🥰,disponibilidade,11
Olá! Bom dia,saudacao,14
Ibaaaa,outros,2
Obrigada! Beijinhos,agradecimento,5
"Oi Bia, tudo bem? Adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! Não localizei tabela de medidas! Porem, pelo tamanho das peças que vc veste o G provavelmente não vai caber em mim! Uso 46/48, a depender da confecção! Pense com carinho em fazer uma curadoria para tamanhos normais! Desejo muito sucesso nessa nova empreitada! Que Deus te abençoe! Bjos!",duvida_tamanho,3
Obrigada,agradecimento,13
Quanto tá essa blusa?,outros,3
Oiiii tudo bem?,saudacao,10
Oba! ❤️,outros,2
"Olá, fiz uma compra com vocês. Tudo certo?",saudacao,12
😍,outros,1
Olá! Tudo bem? Teria um contato do responsável da marca ou comercial para falarmos? Obrigada Carol 🤍,saudacao,0
😍,outros,1
De onde é a sandália linda?,outros,6
Oi! Tudo certinho por aí? 💚 Somos a ĒCRU e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! Nossos principais produtos são: 💚 Necessaire 💚 Saquinhos 💚 Ecobags Nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! Posso te enviar mais informações pelo e-mail ou Whatsapp? Ah! Também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar,0
😍,outros,1
😍,outros,1
👏,outros,4
😍,outros,1
Que roupa bonita,outros,3
😍,outros,1
❤️,outros,2
"Olá, tudo bem?! Meu nome é Leonardo, trabalho na importadora @Lulitex_textil @lulitexfashion Vi o instagram da marca e vocês tem o perfil Lulitex, muito sofisticação e bom gosto. Trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. Nosso showroom tem um acervo enorme. Será um prazer recebe-los em uma visita. Poderia me passar o contato do estilo ou compras? Desde já agradeço a atenção. Att, Leonardo José E-mail: leonardo@lulitex.com.br PABX: +55 11 2105 1541 WHATSAPP: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega,0
Adorei a dica!,outros,11
Adorei!!!! 😘😘🌷,outros,11
"Bom dia tudo bem? Então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . Como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . Eu estou em uma fase de camisa, calça jeans bem moderna . E roupas mais discretas . Mas é esses vestido como usar ?",disponibilidade,3
Ameiiiiiiii,outros,2
😍,outros,1
👏,outros,4
🥰,outros,4
Poxa… que pena… quando tiverem me avise por favor,outros,9
Bom dia … obrigada 🙏🏻,saudacao,14
Não tem mais numeração 37,duvida_tamanho,13
"Oi Ana, obrigada pela resposta! Bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega,12
"Bia, você acaba comigo com tantas coisas lindas do curadobia!!! Queria muito que tivesse frete internacional ( Canadá) eu fico aqui babando!!!! 😍",prazo_entrega,5
"Tá ótimo, obrigada",agradecimento,5
"Vou querer a 46, qual é sua chave pix?",preco_pagamento,13
"Oi, quanto custa a blusa modernosa? Tem GG ?",preco_pagamento,3
"Certo, obrigada !!! O prazo de entrega são 19 dias mesmo ?",prazo_entrega,0
"Olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m Poderiam me ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho,3
"Bom Dia Gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , Como faço para saber , poderiam me Ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho,3
Bia gosto muito das suas bolsas . Poderia passar umas dicas ?? Não encontrei no seu site …,outros,12
Uhuu,outros,2
"Oiee tudo bem? Amei a bota, tem curadoria dela? Bjos",disponibilidade,6
Obrigada,agradecimento,13
Nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho,3
Gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao,11
Oiee,saudacao,2
😁😁,outros,2
❤️❤️,outros,2
"Olá!! Tudo bem? Estou APAIXONADA por essa jaqueta bacanuda da foto. O preço de 546, pula pra setecentos e tanto na hora de comprar. É isso mesmo? Entra um valor de comissão na hora da compra?",preco_pagamento,12
Você é linda e de uma delicadeza admirável,outros,11
"Adorei, obrigada vcs!",agradecimento,5
😍,outros,1
993811193,outros,0
11,outros,2
Pode me chamar novamente por favor?,outros,0
Oi,saudacao,2
Muito obrigada,agradecimento,5
Bom dia. Comprei esta blusa mas a parte que passa encima do ombro está solta. É assim mesmo? Podemos falar para eu entender melhor? Obrigada. Meu cel 983389576,saudacao,3
Obaaa!❤️❤️❤️,outros,1
Bia! Será que a tshirt Angela Motta branca com uma manga bafônica vai ter amanhã? Preciso dela,disponibilidade,11
"Ahh pena! Mas na hora certa, vai dar!",outros,9
Isso é Curadobia hein!,outros,2
Essa tshirt vai estar no evento? Namoro tanto ela,outros,11
Uma coisa de lindo!,outros,11
😍,outros,1
Olá tudo bem Ana e vc? Que bacana… Vou passar o WhatsApp da Maiá pode falar com ela por gentileza! 11-983268095,onde_comprar,0
tenho interesse nessa jaqueta,outros,6
Vou amanhã. Obrigada,agradecimento,9
Acha melhor pegar maior?,outros,3
Lindaaaa,outros,2
Oii comprei a bico fino. O dedo fica um pouquinho de lado pra fora né? Mas super confortável,duvida_tamanho,6
Não tenho nada da Paula Ferber. A numeração é normal a forma?,duvida_tamanho,13
Legal. Obrigada,agradecimento,13
Eu amei a que tem a ponta. Duvida. Tem que ter tornozelo fino? Obrigada,disponibilidade,6
https://www.instagram.com/ac.gromann?igsh=MWE4dTZiY2IzeTAxNw==,onde_comprar,7
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar,7
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar,7
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar,7
https://www.instagram.com/giom.ei/profilecard/,onde_comprar,7
https://www.instagram.com/voceamara/profilecard/,onde_comprar,7
https://www.instagram.com/durgashop/profilecard/,onde_comprar,7
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar,7
https://www.instagram.com/___lourie___/profilecard/,onde_comprar,7
Caraca muito!,outros,2
https://www.instagram.com/minimadeia/profilecard/,onde_comprar,7
https://www.instagram.com/usemyk/profilecard/,onde_comprar,7
https://www.instagram.com/agola__/profilecard/,onde_comprar,7
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar,7
https://www.instagram.com/_nata.oficial?igsh=N204dXp5bzN6azBz,onde_comprar,7
😍 body MyBasic,outros,1
😍,outros,1
Obrigada,agradecimento,13
Onde posso comprar?,outros,12
"Ola pessoal ! Tudo bem?! Sou a Lalá Cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio Estamos em SP e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. Fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo SHOOTING COLLAB, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. O proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. Abaixo mando mais infos. Vamos conversar sobre essas possibilidades? Fico aqui a disposição Abraços, Lalá 11 972686892",preco_pagamento,0
"As duas camisas, o body, a calça e o colar. Eu visto P.",duvida_tamanho,3
"Olá, tudo bem? Seriam essas peças:",saudacao,10
"Olá! Sua curadoria, projeto editorial e gráfico, são incríveis. Parabéns! Mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. Muito difícil!",saudacao,12
Preço?,preco_pagamento,10
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,11
E esses sapatos incríveis? Teremos a chance de tê-los? Rs,outros,6
Já tô seguindo 👊🏻,outros,9
Esse é o fechado,outros,2
"Link da calça, por gentileza",outros,6
Bom dia! Ontem tive o prazer de conhecer vc ao vivo! Eu estava no Mil Plantas! Vc e lindíssima! ❤️,saudacao,14
Obrigada pelo convite! Adorei a minha sandalia nova! ♥️,agradecimento,6
Pode,outros,2
Sim,outros,10
Eu não recebi a confirmação dessa compra,outros,12
Oi,saudacao,2
Volta pro estoque?,disponibilidade,9
A regata arrumadona M,duvida_tamanho,2
Oi!,saudacao,2
E a regata arrumadona?,outros,2
A regata chiquetosa vai voltar pro estoque?,disponibilidade,2
O site está passando por problemas?,outros,12
😍,outros,1
Vcs tem desconto para primeira compra?,preco_pagamento,12
Muito obrigada pelos esclarecimentos,agradecimento,5
Eh isso mesmo?,outros,10
"Fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho,3
Foi só hoje ou vai ficar mais tempo?,outros,9
Ola boa tarde tudo bem? Tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 Obrigada,saudacao,0
Adoro…!,outros,11
Obrigada ;) Enviarei!,agradecimento,5
Obrigada pelo retorno,agradecimento,5
Como posso fazer essa apresentacao?,outros,12
Bom dia!,saudacao,14
Ambos :),outros,10
"Olá Bia! Te vi no post da teti gio Amei o seu perfil Eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável Adoraria te apresentar @eunoyah_jewelry Também gostaria de conversar sobre divulgacao, se houver interesse, claro :) Muito obrigada Um abraço Evelyn",saudacao,0
Olá Algum cupom de desconto na primeira compra?,preco_pagamento,12
Bem e vc Ana!! Muito obrigada,agradecimento,5
Que lindo tudo!,outros,11
Por nada!,outros,2
entrar em contato com a Luciana nossa gerente comercial no email gerencia@elisaatheniense.com.br,outros,0
Bom dia,saudacao,14
"Bia, Tudo bem? Tenho uma festa bem legal e o traje é black and white. Pensei na blusa Pah, mas queria saber se o tecido fica vistoso e se você recomenda alguma calça mais festa para combinar. Beijos Julie",duvida_tamanho,3
Muito obrigada pelo retorno!,agradecimento,5
Eba!,outros,2
"Oi, Ana! Tudo e você? Beleza, obrigada!",saudacao,0
"Olá! Bom dia! Me chamo Anelisa e gostaria de confirmar se meu pedido foi realizado. Não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. Fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. No entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. Além disso também não recebi um e-mail com os dados do pedido. Muito obrigada desde já!",saudacao,12
😍,outros,1
Já vi e amei!! Esperando a virada do cartao pra perder os juízo!,preco_pagamento,11
Gosto da calça assim mais curta! Visto entre 38-40 (quadril 95),duvida_tamanho,3
Bia! Esse seu Curadobia está um arraso! Muito tentador. Parabéns pelo projeto. Uma dúvida: qual a sua altura? Estou interessadíssima nessa calça mas sou baixa (160cm) e geralmente tenho que fazer a barras das calças - o que não é muito fácil com essa… 😅 Obrigada,agradecimento,3
Obrigada!,agradecimento,5
"Bom dia! Gostaria de adquirir essa calça, mas não está mais disponível. Podem me ajudar? Obrigada",disponibilidade,6
Já respondi! Sim no wzap,outros,10
Reagiu com 👍 à sua mensagem,outros,8
"Eu sugiro q vcs verifiquem melhor as parcerias de fornecedores, pois não comprarei mais nesta Curadoria! Infelizmente, gosto mto do trabalho da Bia… mas assim inviabiliza!",outros,0
Até agora nada!,despedida,9
Como proceder p troca?,troca_devolucao,10
Ficou enorme,duvida_tamanho,3
P,duvida_tamanho,2
Adquiri uma máxi pantalona Valéria mansur,outros,6
Oi boa tarde,saudacao,14
😍,outros,1
Vamos pensar no q podemos fazer juntas🌺🌺,outros,9
❤️❤️❤️❤️❤️,outros,2
Eu adorei !! Ja usei minha saia hj,outros,11
Foi muito legal,outros,11
Onde e a loja?,onde_comprar,12
Vai ter reposição dessa calça?,disponibilidade,6
Tudo bem também. Que pena 😕 Eu queria exatamente o verde! 😩,outros,4
"Boa tarde, pessoal! Tudo bem? Estava namorando um macacão verde no site da marca D-aura, porém não localizei mais 😕. Saiu de coleção? Não terá reposição? Aguardo. Obrigada Milene",disponibilidade,11
Perfeito,agradecimento,4
Outra dúvida é sobre o tom certinho dessa jaqueta. No site achei que estava num tom diferente dos stories,outros,6
Joia,outros,2
"Posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao,3
"Na verdade eu já assisti ao vídeo do casaco no site Curadobia várias vezes para tentar chegar a essa conclusão, mas não consegui",outros,6
Vou olhar,outros,9
Não rsrs,outros,2
36 ou 38,duvida_tamanho,13
Eu costumo usar P ou PP se a confecção é grande,duvida_tamanho,3
Porém na dúvida do melhor tamanho,duvida_tamanho,3
Estou de olho nessa peça aqui 👇🏻,outros,9
Tudo bem e vocês?,outros,10
"Oi, pessoal. Tudo bem? Estou com dúvida sobre numeração de uma peça de vocês. Aguardo retorno, obrigada! Milene",duvida_tamanho,13
Perfeito! Fico no aguardo! Abraço,agradecimento,9
"Oi pessoal! Tudo bem? Acredito que essa calça tenha esgotado, certo? Vai ter reposição dela? Aguardo retorno! Obrigada, Milene",disponibilidade,6
Vou seguir.,outros,9
Linda gladiadora!,outros,11
"Queria ver sua sapateira pq tudo é lindíssimo, mas seus sapatos são escolhidos a dedo, tudo a ver com vc sempre… esse é da laiá né?",outros,6
😍,outros,1
👏,outros,4
11-991428141,outros,0
Funciona,outros,10
stellathomazbastos@gmail.com,outros,0
Boa tarde! Tudo ótimo! Segunda à tarde em qualquer horário.,saudacao,14
"Olá, gente! Bom dia! Acabei de ver o post da Bia sobre camisas. Somos uma pequena alfaiataria e camisaria é o core da nossa criação. Gostaria muito de apresentar nosso produto pra vocês. Se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. Abraço, Stella",saudacao,3
Reagiu com 🖤 à sua mensagem,outros,2
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao,0
"Aaaah, perdi! Quando vai ter offline de novo?",outros,9
"A jaqueta branca. Uma pena eu não conseguir comprar por problemas técnicos, uma experiência de consumidor mto ruim",disponibilidade,12
Deu certo mas a peça que eu queria acabou…,outros,9
Ola! Por favor algum retorno?,saudacao,5
Obrigada,agradecimento,13
Ola! Estou tentando finalizar uma compra mas aparece o seguinte erro,outros,12
Obrigada!,agradecimento,5
Olá! Por favor vcs tem desconto para a primeira compra? Obrigada!,preco_pagamento,12
