texto,label_true
"Boa tarde! Na página da Regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do G, que são justamente o que visto. Poderia me enviar essas medidas dos tamanhos GG e XGG, por favor?",outros
Que roupa bonita,outros
tutu. meu filho é tutu. arthur kkkk,outros
Oba! ❤️,outros
👏,outros
😍,outros
11-991428141,outros
Meu pedido chegou hj!!,outros
😍,outros
precisei escrever em uma postagem,outros
oba! ❤️,outros
Na torcida ❤️,outros
é o pedido 502!,outros
😁😁,outros
lindaaaa,outros
tudo bem e vocês?,outros
joia,outros
"eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros
mas a experiência de compra não foi legal,outros
Mas paguei por uma coisa que não recebi,outros
"boa tarde! comprei a blusa pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? rs",outros
😍,outros
Endereço,outros
ibaaaa,outros
Daniela.masson@hotmail.com,outros
tá joia.,outros
Por onde posso acompanhar o envio da minha compra?,outros
o site está passando por problemas?,outros
👏,outros
Vamos marcar ☺️,outros
mas gostaria de experimentar antes de comprar. é possível? meu cel (11) 99904-7575,outros
e a calça é de onde?,outros
"Eu quero comprar esses acessórios, como faço?",outros
👏,outros
Yes!!,outros
Vc teria alguma informação sobre a minha encomenda?,outros
Que lindo tudo!,outros
como posso fazer essa apresentacao?,outros
???,outros
"O produto é lindo , apesar de ter ficando um pouco grande",outros
Amando ♥️♥️♥️,outros
Meu tel 21 99245-3454,outros
Ai..me Ajuda com o vídeo …. Ainda não usei a blusa!!,outros
Lindas !!,outros
😍,outros
Precisei escrever em uma postagem,outros
Já comprei! E acabou de chegar!!,outros
"eu quero comprar esses acessórios, como faço?",outros
E a calça é de onde?,outros
Ahhh maravilha,outros
Pode me chamar novamente por favor?,outros
poxa… que pena… quando tiverem me avise por favor,outros
Vamos pensar no q podemos fazer juntas🌺🌺,outros
onde posso comprar?,outros
11 99635.2663,outros
E a regata arrumadona?,outros
E ainda não chegou,outros
Uauuu ameiii! Linda saia!,outros
Eh isso mesmo?,outros
deu certo mas a peça que eu queria acabou…,outros
maravilha 🙌🏼,outros
E achei muito difícil o contato com vcs,outros
muito tenso,outros
sim!,outros
Pode ser?,outros
tudo bem também!!,outros
Obaaa!❤️❤️❤️,outros
Outra dúvida é sobre o tom certinho dessa jaqueta. No site achei que estava num tom diferente dos stories,outros
e ainda não chegou,outros
🥰,outros
eba!,outros
"Aaaah, perdi! Quando vai ter offline de novo?",outros
falamos por lá,outros
😍,outros
Reagiu com 😢 à sua mensagem,outros
vamos marcar ☺️,outros
feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros
"Vc poderia checar se houve algum problema com os correios de São Paulo, pois nem chegou no correio de Curitiba",outros
😍,outros
E esses sapatos incríveis? Teremos a chance de tê-los? Rs,outros
🔥,outros
ainda hj vou efetuar a compra da calça,outros
olá. tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros
"na verdade foi o porteiro, rs!",outros
e a blusa?,outros
foi só hoje ou vai ficar mais tempo?,outros
sua camisa é linda,outros
yes!!,outros
👏,outros
Olá. Tentei fazer uma compra e após entrar com os dados do cartão e senha vem a seguinte tela,outros
Isso é Curadobia hein!,outros
"de todo modo , agradeço por perguntar",outros
Uma coisa de lindo!,outros
👏,outros
😍,outros
qual foi a mensagem?,outros
Reagiu com 👍 à sua mensagem,outros
tô chegando!,outros
ok,outros
11,outros
aiiiin que pena,outros
Preciso de uma ajudinha com o meu pedido,outros
ebaaaaa,outros
"o produto é lindo , apesar de ter ficando um pouco grande",outros
Estou vendo pelo celular sim.,outros
"sim! a carol entrou em contato comigo! uma fofa , super atenciosa",outros
😍,outros
😍,outros
👏,outros
Muito tenso,outros
Ok,outros
tudo bem,outros
ahh reptilia adoro,outros
Tô de olho faz tempooo,outros
😮,outros
com quem falo b,outros
muito estilo,outros
😍,outros
por muito pouco a minha frustração seria ainda maior,outros
Fechado 3pm brasil !,outros
Já respondi! Sim no wzap,outros
mas a peça ainda não chegou,outros
"Enfim , por muito pouco não me atende",outros
pode,outros
e esses sapatos incríveis? teremos a chance de tê-los? rs,outros
não consigo deixá-la deste jeito,outros
😍,outros
👏,outros
stellathomazbastos@gmail.com,outros
chama no mkt@gammba.com,outros
fiz o processo 2x será q cobrou 2x?,outros
"acho ótimo. pode ser segunda 29 na parte da tarde. estamos com 4horas de fuso, qual horário seria bom pra vc?",outros
chegou,outros
Sim!,outros
já comprei! e acabou de chegar!!,outros
"boa tarde! na página da regata podrinha cinza eu não consigo ver as medidas dos tamanhos acima do g, que são justamente o que visto. poderia me enviar essas medidas dos tamanhos gg e xgg, por favor?",outros
não rsrs,outros
"Boa tarde! Comprei a blusa Pah , mas não consigo deixá-la parecida como da foto… acho que estou usando de forma errada… tem alguma tutorial de como vesti-la ? Rs",outros
caraca muito!,outros
é acolchoada ?,outros
Por muito pouco a minha frustração seria ainda maior,outros
eu não recebi a confirmação dessa compra,outros
👏,outros
É o pedido 502!,outros
11-991428141,outros
Cadê? Quero,outros
uma coisa de lindo!,outros
Foi só hoje ou vai ficar mais tempo?,outros
Mas a peça ainda não chegou,outros
"aaaah, perdi! quando vai ter offline de novo?",outros
Ebaaaaa,outros
ambos :),outros
Adorei a dica!,outros
agora estou organizando as coisas,outros
Linda gladiadora!,outros
Vou seguir.,outros
Feliz demais q vc gostou ! ☺️☺️☺️ me fala como funciona melhor pra vc e marcamos um call,outros
ai..me ajuda com o vídeo …. ainda não usei a blusa!!,outros
🥰,outros
😍,outros
Tô chegando!,outros
adorei a dica!,outros
😍,outros
tô de olho faz tempooo,outros
😍,outros
compra realizada,outros
e a regata arrumadona?,outros
Reagiu com 👍🏿 à sua mensagem,outros
😍,outros
ops é a blusa pah,outros
Ameiiiiiiii,outros
ameiiiiiiii,outros
"oi bia, tudo bem? me chamo alice, sou sócia da monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! o que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? fico no aguardo!",pedido_sugestao
eu amo todos os seus looks! combina 100% com o meu estilo! queria ter todas as peças para mim! pena que moro do outro lado do mundo.,pedido_sugestao
gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao
Gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao
"Oi Bia, tudo bem? Me chamo Alice, sou sócia da Monti, uma marca de moda que preza por estilo atemporal e peças de qualidade. Estamos buscando consultoras de imagem parceiras para recomendar nossas peças aos seus clientes, e pensei que poderíamos criar algo bem legal juntas! O que acha de agendarmos um papo para te contar mais sobre a nossa história e a ideia de parceria? Fico no aguardo!",pedido_sugestao
Eu amo todos os seus looks! Combina 100% com o meu estilo! Queria ter todas as peças para mim! Pena que moro do outro lado do mundo.,pedido_sugestao
comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega
vc consegue rastrear o meu pedido?,prazo_entrega
"olá, tudo bem?! meu nome é leonardo, trabalho na importadora @lulitex_textil @lulitexfashion vi o instagram da marca e vocês tem o perfil lulitex, muito sofisticação e bom gosto. trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. nosso showroom tem um acervo enorme. será um prazer recebe-los em uma visita. poderia me passar o contato do estilo ou compras? desde já agradeço a atenção. att, leonardo josé e-mail: leonardo@lulitex.com.br pabx: +55 11 2105 1541 whatsapp: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega
"certo, obrigada !!! o prazo de entrega são 19 dias mesmo ?",prazo_entrega
olá!! obrigada. qual a previsão de entrega?,prazo_entrega
"bia, você acaba comigo com tantas coisas lindas do curadobia!!! queria muito que tivesse frete internacional ( canadá) eu fico aqui babando!!!! 😍",prazo_entrega
"oi ana, obrigada pela resposta! bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega
como eu poderia rastrear minha compra?,prazo_entrega
Vc consegue rastrear o meu pedido?,prazo_entrega
"Olá, tudo bem?! Meu nome é Leonardo, trabalho na importadora @Lulitex_textil @lulitexfashion Vi o instagram da marca e vocês tem o perfil Lulitex, muito sofisticação e bom gosto. Trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. Nosso showroom tem um acervo enorme. Será um prazer recebe-los em uma visita. Poderia me passar o contato do estilo ou compras? Desde já agradeço a atenção. Att, Leonardo José E-mail: leonardo@lulitex.com.br PABX: +55 11 2105 1541 WHATSAPP: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega
"Oi Ana, obrigada pela resposta! Bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega
"Bia, você acaba comigo com tantas coisas lindas do curadobia!!! Queria muito que tivesse frete internacional ( Canadá) eu fico aqui babando!!!! 😍",prazo_entrega
"Certo, obrigada !!! O prazo de entrega são 19 dias mesmo ?",prazo_entrega
Olá!! Obrigada. Qual a previsão de entrega?,prazo_entrega
Comprei um body e paguei frete de 7 dias úteis pra levar pra uma viagem agora na sexta,prazo_entrega
Como eu poderia rastrear minha compra?,prazo_entrega
tem cupom de desconto primeira compra?,preco_pagamento
olá! por favor vcs tem desconto para a primeira compra? obrigada!,preco_pagamento
vcs tem desconto para primeira compra?,preco_pagamento
já vi e amei!! esperando a virada do cartao pra perder os juízo!,preco_pagamento
"olá, quanto custa a pantalona?",preco_pagamento
ok! obrigada. vi que foi lançado no meu cartão de crédito.,preco_pagamento
"bia, td bom? não estou conseguindo finalizar a compra da ""regata podrinha"". coloquei os dados do cartão e no campo cvv eu ponho os números mas o sistema ignora que eu coloquei. tentei várias vezes, acho que está com problema…",preco_pagamento
qual o preço?,preco_pagamento
"ola pessoal ! tudo bem?! sou a lalá cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio estamos em sp e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo shooting collab, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. o proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. abaixo mando mais infos. vamos conversar sobre essas possibilidades? fico aqui a disposição abraços, lalá 11 972686892",preco_pagamento
preço?,preco_pagamento
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",preco_pagamento
"oi, quanto custa a blusa modernosa? tem gg ?",preco_pagamento
"vou querer a 46, qual é sua chave pix?",preco_pagamento
"oi tudo bem? está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento
olá algum cupom de desconto na primeira compra?,preco_pagamento
"Oi tudo bem? Está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento
Tem cupom de desconto primeira compra?,preco_pagamento
Qual o preço?,preco_pagamento
"Olá, quanto custa a pantalona?",preco_pagamento
"Bia, td bom? Não estou conseguindo finalizar a compra da ""regata podrinha"". Coloquei os dados do cartão e no campo CVV eu ponho os números mas o sistema ignora que eu coloquei. Tentei várias vezes, acho que está com problema…",preco_pagamento
"Vou querer a 46, qual é sua chave pix?",preco_pagamento
"Oi, quanto custa a blusa modernosa? Tem GG ?",preco_pagamento
"Olá!! Tudo bem? Estou APAIXONADA por essa jaqueta bacanuda da foto. O preço de 546, pula pra setecentos e tanto na hora de comprar. É isso mesmo? Entra um valor de comissão na hora da compra?",preco_pagamento
"Ola pessoal ! Tudo bem?! Sou a Lalá Cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio Estamos em SP e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. Fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo SHOOTING COLLAB, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. O proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. Abaixo mando mais infos. Vamos conversar sobre essas possibilidades? Fico aqui a disposição Abraços, Lalá 11 972686892",preco_pagamento
Preço?,preco_pagamento
Vcs tem desconto para primeira compra?,preco_pagamento
Olá Algum cupom de desconto na primeira compra?,preco_pagamento
Já vi e amei!! Esperando a virada do cartao pra perder os juízo!,preco_pagamento
Olá! Por favor vcs tem desconto para a primeira compra? Obrigada!,preco_pagamento
Ok! Obrigada. Vi que foi lançado no meu cartão de crédito.,preco_pagamento
olá,saudacao
"oii, tudo bem??",saudacao
"olá, gente! bom dia! acabei de ver o post da bia sobre camisas. somos uma pequena alfaiataria e camisaria é o core da nossa criação. gostaria muito de apresentar nosso produto pra vocês. se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. abraço, stella",saudacao
boa tarde! tudo ótimo! segunda à tarde em qualquer horário.,saudacao
"olá, boa noite",saudacao
oieee,saudacao
bom dia,saudacao
olá bia tudo bem?,saudacao
"olá! onde encontro os sapatos? este e as gladiadoras, especialmente.",saudacao
"olá, boa tarde",saudacao
olá,saudacao
"olá , bom dia",saudacao
olá!!,saudacao
boa tarde. gostaria de saber se vocês enviam para fora do brasil. obrigada.,saudacao
bom dia! ontem tive o prazer de conhecer vc ao vivo! eu estava no mil plantas! vc e lindíssima! ❤️,saudacao
bom dia. comprei esta blusa mas a parte que passa encima do ombro está solta. é assim mesmo? podemos falar para eu entender melhor? obrigada. meu cel 983389576,saudacao
oi,saudacao
olá bom dia,saudacao
oie,saudacao
oiee! bom dia,saudacao
"olá bia! te vi no post da teti gio amei o seu perfil eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável adoraria te apresentar @eunoyah_jewelry também gostaria de conversar sobre divulgacao, se houver interesse, claro :) muito obrigada um abraço evelyn",saudacao
bom dia!,saudacao
"ola, tudo bem? meu nome é gisela, acabei de fazer um pedido.",saudacao
"oi, as compras são direto no site?",saudacao
olá! bom dia,saudacao
oii o site curadobia está fora do ar?? fui visitar através dos link da bio e não funcionou ... bjs,saudacao
"oieee, obrigada de verdade 💖",saudacao
ola! por favor algum retorno?,saudacao
bom dia! consegue me mandar o vídeo?,saudacao
ola!,saudacao
"boa tarde, me interessei pelos macacões, com zíper mostrados pela bia.",saudacao
oi bia. sou erika dos @brincosdiferentes. gostaria de saber como você trabalha em relação a promoção de produtos. meus brincos são autorais e os fabrico a 39 anos. a produção é 100% nacional. fabricamos desde a liga do metal até o banho de ouro 18k. nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. espero seu contato. obrigada.,saudacao
olá!! como vai funcionar? onde vai ser? obrigada!!,saudacao
"oi, pessoal, tudo bem? mariele da icon aqui. adoraria apresentar a agência e os talentos que representamos para vocês. acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! qual o melhor contato para falarmos disso, por favor? muito obrigada!",saudacao
boa tarde! a jaqueta off da nauanim voltou?,saudacao
ola boa tarde tudo bem? tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 obrigada,saudacao
"olá! sua curadoria, projeto editorial e gráfico, são incríveis. parabéns! mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. muito difícil!",saudacao
"olá, tudo bem? seriam essas peças:",saudacao
"olá, fiz uma compra com vocês. tudo certo?",saudacao
bom dia,saudacao
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao
oi,saudacao
boa tarde!! fiz um pedido de uma blusa brilhei no dia 13/01. não recebi nenhum e-mail de confirmação. será que está tudo certo? meu nome é cristiane rocha loures brenner.,saudacao
"olá curadobia, tudo bem? agradecemos o interesse pela marca. para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. nossa equipe de marketing é especializada nesse assunto. dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. fique à vontade para entrar em contato caso tenha alguma dúvida. estamos aqui para ajudar.",saudacao
oi!,saudacao
"olá, tudo bem? entre em contato com nosso comercial, 085987859507",saudacao
oie,saudacao
oi boa tarde,saudacao
boa noite.,saudacao
bom dia … obrigada 🙏🏻,saudacao
ola! muitíssimo obrigada 💋,saudacao
olá! muito obrigada!! vou ver em breve!!,saudacao
oii,saudacao
olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? obrigada carol 🤍,saudacao
"olá, td bem? fiz uma compra com vc e recebi apenas o tricot. vc pode me ajudar ? muito obrigada desde já !",saudacao
oiee,saudacao
oi! esse conjunto marrom é vendido também ?,saudacao
bom dia. gostei da calça. vai ter no site? obrigada,saudacao
"oi ana boa tarde! obrigada pelo contato. sim, estou interessada. tentei comprar após a mensagem da bia mas ainda estava indisponível",saudacao
olá! esse conjunto ainda não está disponvel no site de vcs né ? poderia me dizer se onde é?,saudacao
"oii, bia! tudo bem? por favor, de onde é essa calça? yes i am? procurei aqui no feed e não encontrei… obrigada!",saudacao
"olá! bom dia! me chamo anelisa e gostaria de confirmar se meu pedido foi realizado. não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. no entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. além disso também não recebi um e-mail com os dados do pedido. muito obrigada desde já!",saudacao
"oi, ana! tudo e você? beleza, obrigada!",saudacao
olá,saudacao
bom dia,saudacao
oiiii tudo bem?,saudacao
"boa tarde. estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao
"oie!!! são lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao
Bom dia. Gostei da calça. Vai ter no site? Obrigada,saudacao
Olá!! Como vai funcionar? Onde vai ser? Obrigada!!,saudacao
Oi BIA. Sou Erika dos @brincosdiferentes. Gostaria de saber como você trabalha em relação a promoção de produtos. Meus brincos são autorais e os fabrico a 39 anos. A produção é 100% nacional. Fabricamos desde a liga do metal até o banho de ouro 18k. Nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. Espero seu contato. Obrigada.,saudacao
Ola! Muitíssimo obrigada 💋,saudacao
"Olá, Tudo bem? Entre em contato com nosso comercial, 085987859507",saudacao
Oiee! Bom dia,saudacao
Oie,saudacao
Olá bom dia,saudacao
Olá!!,saudacao
"Olá , bom dia",saudacao
Olá,saudacao
"Olá, boa tarde",saudacao
Bom dia,saudacao
Oieee,saudacao
"Olá, boa noite",saudacao
Oii,saudacao
Olá! Muito obrigada!! Vou ver em breve!!,saudacao
Ola!,saudacao
"Olá Curadobia, tudo bem? Agradecemos o interesse pela marca. Para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. Nossa equipe de marketing é especializada nesse assunto. Dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. Fique à vontade para entrar em contato caso tenha alguma dúvida. Estamos aqui para ajudar.",saudacao
"Oii, tudo bem??",saudacao
Olá! Bom dia,saudacao
Oiiii tudo bem?,saudacao
"Olá, fiz uma compra com vocês. Tudo certo?",saudacao
Olá! Tudo bem? Teria um contato do responsável da marca ou comercial para falarmos? Obrigada Carol 🤍,saudacao
Bom dia … obrigada 🙏🏻,saudacao
Oiee,saudacao
Oi,saudacao
Bom dia. Comprei esta blusa mas a parte que passa encima do ombro está solta. É assim mesmo? Podemos falar para eu entender melhor? Obrigada. Meu cel 983389576,saudacao
"Olá, tudo bem? Seriam essas peças:",saudacao
"Olá! Sua curadoria, projeto editorial e gráfico, são incríveis. Parabéns! Mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. Muito difícil!",saudacao
Bom dia! Ontem tive o prazer de conhecer vc ao vivo! Eu estava no Mil Plantas! Vc e lindíssima! ❤️,saudacao
Oi,saudacao
Oi!,saudacao
Ola boa tarde tudo bem? Tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 Obrigada,saudacao
Bom dia!,saudacao
"Olá Bia! Te vi no post da teti gio Amei o seu perfil Eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável Adoraria te apresentar @eunoyah_jewelry Também gostaria de conversar sobre divulgacao, se houver interesse, claro :) Muito obrigada Um abraço Evelyn",saudacao
Bom dia,saudacao
"Oi, Ana! Tudo e você? Beleza, obrigada!",saudacao
"Olá! Bom dia! Me chamo Anelisa e gostaria de confirmar se meu pedido foi realizado. Não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. Fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. No entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. Além disso também não recebi um e-mail com os dados do pedido. Muito obrigada desde já!",saudacao
Oi boa tarde,saudacao
Boa tarde! Tudo ótimo! Segunda à tarde em qualquer horário.,saudacao
"Olá, gente! Bom dia! Acabei de ver o post da Bia sobre camisas. Somos uma pequena alfaiataria e camisaria é o core da nossa criação. Gostaria muito de apresentar nosso produto pra vocês. Se vocês acharem conveniente, por favor, indiquem a melhor forma de contato. Abraço, Stella",saudacao
"olá, tudo bem e com vcs ? vi que vcs enviaram um e-mail para nós, vou responder vcs por lá, ok? um beijo e muito obrigada pelo contato <3",saudacao
Ola! Por favor algum retorno?,saudacao
"Boa tarde, me interessei pelos macacões, com zíper mostrados pela Bia.",saudacao
"Olá, td bem? Fiz uma compra com vc e recebi apenas o tricot. Vc pode me ajudar ? Muito obrigada desde já !",saudacao
Oie,saudacao
"Oii, Bia! Tudo bem? Por favor, de onde é essa calça? Yes I am? Procurei aqui no feed e não encontrei… obrigada!",saudacao
"Olá! Onde encontro os sapatos? Este e as gladiadoras, especialmente.",saudacao
Oii O site Curadobia está fora do ar?? Fui visitar através dos link da Bio e não funcionou ... bjs,saudacao
Boa tarde! A jaqueta off da Nauanim voltou?,saudacao
"Oieee, obrigada de verdade 💖",saudacao
Boa tarde!! Fiz um pedido de uma blusa Brilhei no dia 13/01. Não recebi nenhum e-mail de confirmação. Será que está tudo certo? Meu nome é Cristiane Rocha Loures Brenner.,saudacao
Boa tarde. Gostaria de saber se vocês enviam para fora do Brasil. Obrigada.,saudacao
Olá! Esse conjunto ainda não está disponvel no site de vcs né ? Poderia me dizer se onde é?,saudacao
Oi! Esse conjunto marrom é vendido também ?,saudacao
Olá,saudacao
Boa noite.,saudacao
"Ola, tudo bem? Meu nome é Gisela, acabei de fazer um pedido.",saudacao
"Oi, as compras são direto no site?",saudacao
"Oi Ana boa tarde! Obrigada pelo contato. Sim, estou interessada. Tentei comprar após a mensagem da Bia mas ainda estava indisponível",saudacao
"Oi, pessoal, tudo bem? Mariele da Icon aqui. Adoraria apresentar a agência e os talentos que representamos para vocês. Acredito que temos uma super sinergia e que seria lindo colaborarmos futuramente! Qual o melhor contato para falarmos disso, por favor? Muito obrigada!",saudacao
Bom dia,saudacao
"Boa tarde. Estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao
Olá,saudacao
Bom dia! Consegue me mandar o vídeo?,saudacao
"Oie!!! São lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao
Olá Bia Tudo bem?,saudacao
"não vou trocar , vou tentar reduzir o gancho",troca_devolucao
acabei de comprar um conjunto. se não servir posso trocar? pelo seu cep deve ser perto da minha casa. o meu 04531-020,troca_devolucao
"caso não fique com, como funciona a troca?",troca_devolucao
"mas, ficou grande😫",troca_devolucao
como é o processo da troca?,troca_devolucao
"sobre a troca da calça que comprei (quero trocar por um tamanho menor). recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao
fiz uma compra de um casaco com vcs e não vestiu bem. gostaria de trocar por uma calça fresquinha tamanho m.,troca_devolucao
estou tentando contato para devolução de mercadoria e ninguém me atende! nem por whatsapp e nem e-mail. comprei um vestido que quero devolver. como devo proceder? cristina hees 11 970499507,troca_devolucao
"posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao
como proceder p troca?,troca_devolucao
"olá meninas, tudo bem? comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). como faço?",troca_devolucao
"Sobre a troca da calça que comprei (quero trocar por um tamanho menor). Recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao
Como é o processo da troca?,troca_devolucao
"Mas, ficou grande😫",troca_devolucao
"Caso não fique com, como funciona a troca?",troca_devolucao
Fiz uma compra de um casaco com vcs e não vestiu bem. Gostaria de trocar por uma calça fresquinha tamanho M.,troca_devolucao
Como proceder p troca?,troca_devolucao
"Posso trocar, caso eu experimente e prefira uma maior?",troca_devolucao
Acabei de comprar um conjunto. Se não servir posso trocar? Pelo seu cep deve ser perto da minha casa. O meu 04531-020,troca_devolucao
"Não vou trocar , vou tentar reduzir o gancho",troca_devolucao
"Olá meninas, tudo bem? Comprei a saia preta da d aura em outubro, precisei trocar (foram rapidíssimos), mas só hoje eu soube que não levaram a sacola com a peça a ser trocada (ficou este tempo todo na minha portaria). Como faço?",troca_devolucao
Estou tentando contato para devolução de mercadoria e ninguém me atende! Nem por WhatsApp e nem e-mail. Comprei um vestido que quero devolver. Como devo proceder? Cristina Hees 11 970499507,troca_devolucao
